Rang,Ingredient_Latin,Nb_Recettes,Pct_Recettes,CI_Thermal,CI_Thermal_Deg,CI_Moisture,CI_Moisture_Deg,Recettes_IDs
1,Myrrha,72,52.6,calidum,2,siccum,2,0;1;2;3;4;5;6;15;20;21;22;25;26;28;29;30;34;35;36;43;51;52;53;55;56;57;58;59;61;62;63;65;66;67;68;69;70;73;75;77;78;79;81;82;84;86;88;89;91;92;96;97;98;99;100;101;102;103;104;113;114;115;118;119;121;122;124;125;126;129;131;134
2,Amomum,71,51.8,,,,,0;1;2;3;5;6;7;9;12;14;15;16;18;20;21;22;23;26;28;29;30;31;32;34;35;36;38;39;41;43;47;50;51;52;54;58;59;60;61;62;63;64;65;66;69;70;77;79;80;81;90;91;92;99;100;101;103;105;112;113;116;118;119;120;122;124;125;126;128;129;131
3,Aqua,59,43.1,,,,,3;4;5;6;9;11;12;13;16;17;18;24;28;31;32;33;35;39;41;42;43;45;46;47;48;49;51;52;53;54;56;57;59;64;65;66;68;71;72;73;77;81;84;90;91;100;104;106;107;108;109;110;111;113;115;125;126;127;130
4,Cinnamomum,52,38.0,calidum,3,siccum,3,0;1;3;5;7;12;14;15;16;18;20;21;22;26;28;29;32;35;38;39;41;43;50;51;52;54;58;59;60;62;63;64;65;66;70;77;80;81;90;91;92;99;100;101;103;105;116;119;125;126;128;129
5,Aloe,52,38.0,,,,,0;5;9;13;14;15;21;22;26;28;29;30;31;34;35;41;43;47;50;51;52;56;58;60;65;69;70;77;78;79;80;81;82;83;84;86;87;88;89;91;92;93;94;95;96;97;105;118;119;121;125;126
6,Vinum,51,37.2,,,,,0;1;6;7;8;14;15;16;20;26;29;30;32;36;38;40;41;43;50;51;52;53;55;56;58;60;61;63;64;65;66;69;76;77;78;79;81;84;88;92;98;100;113;115;116;119;124;125;126;132;134
7,Crocus,50,36.5,calidum,1,siccum,1,1;2;3;4;5;8;21;23;28;30;31;36;41;50;52;54;55;56;57;59;60;61;62;65;66;67;69;70;77;78;79;80;81;82;84;85;91;93;99;103;104;113;119;122;124;125;126;127;128;129
8,Anisum,43,31.4,calidum,,siccum,,0;1;2;3;6;7;15;16;20;25;26;27;29;31;35;36;45;47;50;52;55;59;60;62;63;66;68;70;79;81;84;87;89;99;103;112;113;114;115;116;117;126;131
9,Zingiber,41,29.9,,,,,0;1;2;6;8;14;20;22;23;27;28;29;32;35;38;39;43;50;51;52;58;60;64;65;66;69;70;77;79;81;85;92;99;100;101;105;113;116;117;121;131
10,Mastix,41,29.9,calidum,2,siccum,2,0;4;5;11;21;22;26;29;31;35;50;51;52;53;54;56;57;65;66;70;73;77;78;80;83;84;87;88;90;91;93;94;95;115;119;121;124;126;131;134;135
