Rang,Item_Provencal,Latin_Standard,Categorie,AN_Present,CI_Present
1,aqua apii,??aqua apii,AQUA,,
2,aqua arthimisie,??aqua arthimisie,AQUA,,
3,aqua ascetose,??aqua ascetose,AQUA,,
4,aqua borraginis,??aqua borraginis,AQUA,,
5,aqua bortulasse,??aqua bortulasse,AQUA,,
6,aqua brotamy,??aqua brotamy,AQUA,,
7,aqua buglosse,??aqua buglosse,AQUA,,
8,aqua buglosse,??aqua buglosse,AQUA,,
9,aqua buglosse,??aqua buglosse,AQUA,,
10,aqua burce pastoris,??aqua burce pastoris,AQUA,,
11,aqua capilliveneris,??aqua capilliveneris,AQUA,,
12,aqua caprifolii,??aqua caprifolii,AQUA,,
13,aqua crete marine,??aqua crete marine,AQUA,,
14,aqua cucurbite,??aqua cucurbite,AQUA,,
15,aqua cycoree,??aqua cycoree,AQUA,,
16,aqua dagriotas,??aqua dagriotas,AQUA,,
17,aqua darbosse,??aqua darbosse,AQUA,,
18,aqua de sorbas,??aqua de sorbas,AQUA,,
19,aqua de sorbas,??aqua de sorbas,AQUA,,
20,aqua endivie,??aqua endivie,AQUA,,
21,aqua enulle campane,??aqua enulle campane,AQUA,,
22,aqua escabiose,??aqua escabiose,AQUA,,
23,aqua feniculi,??aqua feniculi,AQUA,,
24,aqua florum malve,??aqua florum malve,AQUA,,
25,aqua fumis terre,??aqua fumis terre,AQUA,,
26,aqua fummis terre,??aqua fummis terre,AQUA,,
27,aqua lenticy,??aqua lenticy,AQUA,,
28,aqua mellice,??aqua mellice,AQUA,,
29,aqua mente,??aqua mente,AQUA,,
30,aqua millisol,??aqua millisol,AQUA,,
31,aqua nenupharis,??aqua nenupharis,AQUA,,
32,aqua nucis,??aqua nucis,AQUA,,
33,aqua nucum,??aqua nucum,AQUA,,
34,aqua ortice,??aqua ortice,AQUA,,
35,aqua pimpinelle,??aqua pimpinelle,AQUA,,
36,aqua pimpinelle,??aqua pimpinelle,AQUA,,
37,aqua quinque radicibus,??aqua quinque radicibus,AQUA,,
38,aqua raphani,??aqua raphani,AQUA,,
39,aqua ruthe,??aqua ruthe,AQUA,,
40,aqua salvie,??aqua salvie,AQUA,,
41,aqua sambuci,??aqua sambuci,AQUA,,
42,aqua sansucy,??aqua sansucy,AQUA,,
43,aqua scabiose,??aqua scabiose,AQUA,,
44,aqua scariole,??aqua scariole,AQUA,,
45,aqua scolopendrie,??aqua scolopendrie,AQUA,,
46,aqua solatri,??aqua solatri,AQUA,,
47,aqua thamaretis,??aqua thamaretis,AQUA,,
48,aqua thunicis,??aqua thunicis,AQUA,,
49,aqua tymy,??aqua tymy,AQUA,,
50,aqua ysopi,??aqua ysopi,AQUA,,
51,XVII potz per tenir enguensPlus VI jarretas persas obra de ValenciaPlus VI jarretas obra de ValenciaPlus II jarretas obra de Valencia per tenir confiturasPlus XXXVI potz petitz obra de Valencia per tenir opiatas de II,??XVII potz per tenir enguensPlus VI jarretas persas obra de ValenciaPlus VI jarretas obra de ValenciaPlus II jarretas obra de Valencia per tenir confiturasPlus XXXVI potz petitz obra de Valencia per tenir opiatas de II,CONFITURE,,
52,cart do poncyre confitz en mel,??cart do poncyre confitz en mel,CONFITURE,,
53,codonhs confitz en mel,??codonhs confitz en mel,CONFITURE,,
54,codonhs confitz en mel,??codonhs confitz en mel,CONFITURE,,
55,codonhs confitz en mel,??codonhs confitz en mel,CONFITURE,,
56,cogordas confitas en sucre,??cogordas confitas en sucre,CONFITURE,,
57,confituras mescladas en mel,??confituras mescladas en mel,CONFITURE,,
58,datils confitz en sucre,??datils confitz en sucre,CONFITURE,,
59,herangez confitz en mel,??herangez confitz en mel,CONFITURE,,
60,herangez confitz en mel,??herangez confitz en mel,CONFITURE,,
61,mel anthozati,??mel anthozati,CONFITURE,,
62,mel passularum,??mel passularum,CONFITURE,,
63,mel rozat,??mel rozat,CONFITURE,,
64,mel vyolat,??mel vyolat,CONFITURE,,
65,nos confites en mel,??nos confites en mel,CONFITURE,,
66,pomas confitas en sucre,??pomas confitas en sucre,CONFITURE,,
67,poncires confitz en sucre,??poncires confitz en sucre,CONFITURE,,
68,una autra bacina per portar confitures,??una autra bacina per portar confitures,CONFITURE,,
69,enis confit,Anisum,CONFITURE,,
70,mirabolans confitz,Myrobalanus,CONFITURE,,
71,gingibre vert confit,Zingiber,CONFITURE,,
72,conserva borraginis,??conserva borraginis,CONSERVA,,
73,conserva buglosse,??conserva buglosse,CONSERVA,,
74,conserva capilliveneris,??conserva capilliveneris,CONSERVA,,
75,conserva cymfiti,??conserva cymfiti,CONSERVA,,
76,conserva enule campane,??conserva enule campane,CONSERVA,,
77,conserva nenupharis,??conserva nenupharis,CONSERVA,,
78,conserva rosarum,??conserva rosarum,CONSERVA,,
79,conserva salterionis,??conserva salterionis,CONSERVA,,
80,conserva scolopendrie,??conserva scolopendrie,CONSERVA,,
81,conserva violarum,??conserva violarum,CONSERVA,,
82,conserva yrlngonsr,??conserva yrlngonsr,CONSERVA,,
83,cyrop de sucre,??cyrop de sucre,CYRUPUS,,
84,cyrop de sucre,??cyrop de sucre,CYRUPUS,,
85,cyrop de sucre,??cyrop de sucre,CYRUPUS,,
