Rang,Middle_English,Latin_Equivalent,Nb_Recettes,Pct_Recettes
1,hony,Mel,59,14.0
2,mastic,Mastix,49,11.6
3,liquirice,Glycyrrhiza,45,10.7
4,sugre,Zuccarum,43,10.2
5,spicenardi,Nardus,42,10.0
6,anis,,42,10.0
7,vinegre,Acetum,38,9.0
8,uva passe,,38,9.0
9,aloen,Aloe,37,8.8
10,olibanum,Olibanum,37,8.8
11,fenel,Foeniculum,32,7.6
12,water,Aqua,29,6.9
13,dragaganti,Tragacanthum,29,6.9
14,gummi arabic,,28,6.7
15,sandali,Santalum,26,6.2
16,mirre,Myrrha,25,5.9
17,water of rosis,Aqua_rosarum,24,5.7
18,wex,Cera,24,5.7
19,floures of borage,Borago,23,5.5
20,rosis,Rosa,23,5.5
21,gariofilum,,23,5.5
22,floures of violet,Viola,22,5.2
23,absinthium,Absinthium,22,5.2
24,zinziberis,,22,5.2
25,cinamome,Cinnamomum,22,5.2
26,carica,,21,5.0
27,bdellium,Bdellium,21,5.0
28,ysope,,21,5.0
29,agarik,,20,4.8
30,litarge,Lithargyrum,20,4.8
31,galle,,20,4.8
32,sumac,,20,4.8
33,levys of absinthium,Absinthium,19,4.5
34,turbith,,19,4.5
35,oximel squillitik,Mel,19,4.5
36,fenigrec,Trigonella,18,4.3
37,oil of rosis,Oleum_rosatum,17,4.0
38,4 cold sedes,,17,4.0
39,mel roset,Mel_rosatum,17,4.0
40,jujube,,17,4.0
41,pulpe coloquintide,,17,4.0
42,barlich,,16,3.8
43,alum,,16,3.8
44,ruta,,16,3.8
45,storace calamite,,16,3.8
46,polipodi,,15,3.6
47,oil,,15,3.6
48,yerapigra,,15,3.6
49,diatrion pipereon,,15,3.6
50,ambra grisie,,15,3.6
51,sedes of ruta,,15,3.6
52,muscatelini,Nux_moschata,14,3.3
53,spodium,Spodium,14,3.3
54,sparage,,14,3.3
55,calamente,Calamintha,14,3.3
56,lactuca,Lactuca,14,3.3
57,squinanti,,14,3.3
58,sugre of rosis,Rosa,14,3.3
59,nux muscata,,14,3.3
60,castor,,14,3.3
61,wyn,,14,3.3
62,siseleos,,14,3.3
63,whit vinegre,Acetum,13,3.1
64,petrosilie,Petroselinum,13,3.1
65,bruscus,,13,3.1
66,apium,Apium,13,3.1
67,epithimi,Epithymum,13,3.1
68,juse of absinthium,Absinthium,13,3.1
69,piperis,,13,3.1
70,triasandali,Santalum,13,3.1
71,balaustia,,13,3.1
72,sanguis draconis,,13,3.1
73,lignum aloes,Aloe,13,3.1
74,sedes of whit papaver,Papaver,12,2.9
75,scariol,,12,2.9
76,womman mylke,Lac_mulieris,12,2.9
77,rote of fenel,Foeniculum,12,2.9
78,yerarufini,,12,2.9
79,lacca,,12,2.9
80,whit wyn,,12,2.9
81,eris ust,,12,2.9
82,crocus,,12,2.9
83,acacia,,12,2.9
84,cassiafistula,Cassia_fistula,11,2.6
85,endive,Endivia,11,2.6
86,graminis,,11,2.6
87,levys of mente,,11,2.6
88,pine,,11,2.6
89,aristologie,,11,2.6
90,sarcocolla,Sarcocolla,11,2.6
91,piperis long,,11,2.6
92,juse of plantago,,11,2.6
93,calami aromatici,,11,2.6
94,camomille,Chamomilla,10,2.4
95,stronge vinegre,Acetum,10,2.4
96,sedes of malve,,10,2.4
97,ceruse lote,Cerusa,10,2.4
98,coriandre,,10,2.4
99,euforbia,,10,2.4
100,bole armoniac,,10,2.4
101,lapdanum,,10,2.4
102,opium,Opium,10,2.4
103,ei yolk,,10,2.4
104,sedes of linsed,,10,2.4
105,ydromel,Mel,10,2.4
106,mirtille,,10,2.4
107,sticados,,9,2.1
108,scolopendrie,,9,2.1
109,fumiterre,Fumaria,9,2.1
110,gotys whay,,9,2.1
111,rind of mirabolan indorum,,9,2.1
112,sedes of endive,Endivia,9,2.1
113,dragaganti frigidi,Tragacanthum,9,2.1
114,vitriol,,9,2.1
115,cost,,9,2.1
116,sedes of portulaca,Portulaca,9,2.1
117,diamente,,9,2.1
118,capilli veneris,,9,2.1
119,ciperus,,9,2.1
120,muscilage of psillie,,9,2.1
121,musco,,9,2.1
122,malve,,9,2.1
123,sarcocolla nutrite,Sarcocolla,9,2.1
124,muscilage of dragaganti,Tragacanthum,9,2.1
125,mylke,,9,2.1
126,asarabacca,,9,2.1
127,portulaca,Portulaca,8,1.9
128,sedes of scariol,,8,1.9
129,pistace,,8,1.9
130,margarite,,8,1.9
131,cathimia lote,,8,1.9
132,bismalve,,8,1.9
133,piretre,,8,1.9
134,juse of fumiterre,Fumaria,8,1.9
135,diambra,,8,1.9
136,levys of sene,Senna,8,1.9
137,origane,,8,1.9
138,salvie,Sal,8,1.9
139,mente,,8,1.9
140,comin,,8,1.9
141,yeralogodion,,8,1.9
142,cubebe,,8,1.9
143,galbanum,,8,1.9
144,psidia,,8,1.9
145,ei whit,Albumen_ovi,7,1.7
146,eupatorie,,7,1.7
147,ameos,,7,1.7
148,reubarbe,,7,1.7
149,sebesten,,7,1.7
150,orobus,,7,1.7
151,ceruse,Cerusa,7,1.7
152,farina of barlich,,7,1.7
153,rote of aristologie,,7,1.7
154,nitrum,,7,1.7
155,sal armoniac,Sal,7,1.7
156,celidonie,,7,1.7
157,diacitoniten,,7,1.7
158,oil of sisamie,,7,1.7
159,mellilote,Mel,7,1.7
160,swynes grece recent,,7,1.7
161,rote of yreos,,7,1.7
162,nucis of cipresse,,7,1.7
163,cacabre,,7,1.7
164,red rosis,Rosa,6,1.4
165,wyn of pomegarnettes,,6,1.4
166,tamarinde,Tamarindus,6,1.4
167,prune,,6,1.4
168,mirabolan indorum,,6,1.4
169,camphor,,6,1.4
170,cicer,,6,1.4
171,oil of violet,,6,1.4
172,sal gemme,Sal,6,1.4
173,rind of pomegarnettes,,6,1.4
174,sulfur vive,,6,1.4
175,hoot water,Aqua,6,1.4
176,sinapis,,6,1.4
177,plantago,,6,1.4
178,genciane,,6,1.4
179,yreos,,6,1.4
180,diarodon abbatis,,6,1.4
181,zedoaria,,6,1.4
182,lilie,,6,1.4
183,amidum,,6,1.4
184,candi penidiarum,,6,1.4
185,sedes of lactuca,Lactuca,6,1.4
186,sirup of mirtille,,6,1.4
187,date,,6,1.4
