Inventaire,Item_Original,Latin_Standard,Categorie
"Rostaing de Greoux (Manosque, 1547)",Aqua rosarum,Rosa,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua buglosse,Borago,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua lactuce,Lactuca,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua ungule cabalme,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua florum sambuci,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua portulace,Portulaca,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua fumiterre,Fumaria,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua plantaginis,Plantago,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua acetoze,,AQUA
"Rostaing de Greoux (Manosque, 1547)",ll. ¾.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Aqua nenupharis,Nymphaea,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua endivie,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua scabioze,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua florum geneste,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua menthe,Mentha,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua nucum,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua absinthii,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua mellisse,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua apii,,AQUA
"Rostaing de Greoux (Manosque, 1547)",ll. ¾.,,SIMPLE
"Rostaing de Greoux (Manosque, 1547)",Aqua matrissilve,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua petuli	rosarum,Rosa,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua burssa	pastoris,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua florum	violarum,Viola,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua hyssopii,Hyssopus,AQUA
"Rostaing de Greoux (Manosque, 1547)",Aqua vite,,AQUA
"Rostaing de Greoux (Manosque, 1547)",Syrupus destecades,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus edivie simplicis,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de prassio,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de eupatorio,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de liquiritia,Glycyrrhiza,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus capillorum veneris,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de fumoterre,Fumaria,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus violatus,Viola,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus rosatus laxativus,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus acetozus,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de arthemisia,Artemisia,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus acetosus compositus,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de borragine,,CYRUPUS
"Rostaing de Greoux (Manosque, 1547)",Syrupus de lymonibus,,CYRUPUS
